Reference;Publication Year;Task;Case study;Case study type;Input for the model;Number of input variables;Input type;Data Pre-processing;Model Approach;Model Type;Models;Online/Off-line;Number of failure modes;Performance indicator;Performance;Complementary notes;Study title;Publication identifier
1;2019;Health modelling;Simulated jet-engines data;Rotary machines;Time series;5;Temperature, Fluid Pressure, Spinning speed, Baypass ratio;yes;Single model;Data-driven;Logistic regression;Off-line;1;Mean absolute precentage error;(<0.05);1 operational mode, 100 training sets, 100 test sets, data preprocessing include normalization and variables selection, no computational power info provided;Aircraft engine degradation prognostics based on logistic regression and novel OS-ELM algorithm ;doi.org/10.1016/j.ast.2018.09.044
2;2019;Health assessment;Simulated jet-engines data;Rotary machines;Time series;5;Temperature, Fluid Pressure, Spinning speed, Baypass ratio;yes;Single model;Data-driven;Logistic regression;Off-line;1;Mean absolute precentage error;(<0.05);1 operational mode, 100 training instances, 100 test instances, data preprocessing include normalization and variables selection, no computational power info provided;Aircraft engine degradation prognostics based on logistic regression and novel OS-ELM algorithm ;doi.org/10.1016/j.ast.2018.09.044
3;2019;Remaining useful life estimation;Simulated jet-engines data;Rotary machines;Time series;1;Health index;yes;Single model;Data-driven;OS-ELM (Online-secuential extreme learning machine) ;Off-line;1;Score function (the smaller the better), Mean accuracy, Error range;(58.96), (93.26), ([21,33]];1 operational mode, 100 training instances, 100 test instances, data preprocessing include normalization, variables selection and logistic regresion for health index, no computational power info provided, average computation time 2.7812s;Aircraft engine degradation prognostics based on logistic regression and novel OS-ELM algorithm ;doi.org/10.1016/j.ast.2018.09.044
4;2019;Remaining useful life estimation;Simulated jet-engines data;Rotary machines;Time series;1;Health index;yes;Multi model;Data-driven;KFOS-ELM (Kalma filter-based learning OS-ELM);Off-line;1;Score function (the smaller the better), Mean accuracy, Error range;(35.78), (95.78), ([15,22]];1 operational mode, 100 training instances, 100 test instances, data preprocessing include normalization, variables selection and logistic regresion for health index, no computational power info provided, average computation time 2.8485s;Aircraft engine degradation prognostics based on logistic regression and novel OS-ELM algorithm ;doi.org/10.1016/j.ast.2018.09.044
5;2019;Remaining useful life estimation;Simulated jet-engines data;Rotary machines;Time series;1;Health index;yes;Multi model;Data-driven;EOS-ELM (Esemble of OS-ELM);Off-line;1;Score function (the smaller the better), Mean accuracy, Error range;(34.56), (96.54), ([13,19]];1 operational mode, 100 training instances, 100 test instances, data preprocessing include normalization, variables selection and logistic regresion for health index, no computational power info provided, average computation time 3.4693s;Aircraft engine degradation prognostics based on logistic regression and novel OS-ELM algorithm ;doi.org/10.1016/j.ast.2018.09.044
6;2019;Remaining useful life estimation;Simulated jet-engines data;Rotary machines;Time series;1;Health index;yes;Multi model;Data-driven;AEKFOS-ELM (adaptive-weighted ensemble of KFOS-ELM);Off-line;1;Score function (the smaller the better), Mean accuracy, Error range;(33.13), (96.76), ([11,18]];1 operational mode, 100 training instances, 100 test instances, data preprocessing include normalization, variables selection and logistic regresion for health index, no computational power info provided, average computation time 3.5132s;Aircraft engine degradation prognostics based on logistic regression and novel OS-ELM algorithm ;doi.org/10.1016/j.ast.2018.09.044
7;2019;Health assessment;Railway track geometry;Structures;Time series;14;Mechanical stresses, Life cycles, Mechanical Pressure, Elastic strains, Plastic strains;No;Multi model;Physics-based, Data-driven;Physics-based model for track settlement, Bayes model;Off-line;1;N/A;N/A;No info about operational modes, no need for training for physics based model, 5000 particles for particle filter model, 10 testing instances, no info about computational power ;A knowledge-based prognostics framework for railway track geometry degradation;doi.org/10.1016/j.ress.2018.07.004
8;2019;Remaining useful life estimation;Railway track geometry;Structures;Time series;14;Mechanical stresses, Life cycles, Mechanical Pressure, Elastic strains, Plastic strains;No;Multi model;Physics-based, Data-driven, Physics-based;Physics-based model for track settlement, Bayes model, Particle Filter;Online;1;Mean absolute percentage error;(<5%);No info about operational modes, no need for training for physics based model, 5000 particles for particle filter model, 10 testing instances, no info about computational power ;A knowledge-based prognostics framework for railway track geometry degradation;doi.org/10.1016/j.ress.2018.07.004
9;2019;Health modelling;Cars production line ;Production lines;Time series;4;Equipment effectiveness, Down time, Scrap rate;Yes;Single model;Knowledge-based;Fuzzy Inference System;Off-line;1;N/A;N/A;No info about operational modes, no need for training for knowledge based model, 500 test instances, no info about computational power ;Fuzzy early warning systems for condition based maintenance;doi.org/10.1016/j.cie.2018.12.056
10;2016;One step future state forecast;Proton exchange membrane fuel cell;Energy cells and batteries;Time series;1;Voltage;No;Single model;Data-driven;Relevance vector machine;Off-line;1;Mean absolute percentage error, Root mean square error;(<0.01), (<0.3);4 operational modes for one batery type, 1 operational mode for another, 400h of degradation data for 5 battery degradation testing, no info about computational power;Nonlinear Performance Degradation Prediction of Proton Exchange Membrane Fuel Cells Using Relevance Vector Machine;doi.org/10.1109/TEC.2016.2582531
