Reference;Sim;Task;Case study type;Case study;Online/Off-line;Input for the model;Model Approach;Models;Input type;Number of input variables;Performance indicator;Performance;Complementary notes;Publication identifier
209;0,919;Fault detection;Rotary machines;Simulated jet-engines data;Online;Time series;Single model;Voting method,;Spinning speed, Modeled values;3;N/A,;N/A,;No info about operational modes, no info about training instances, 3 testing instances , no need for data preprocessing , no info about computational power.From the 3 input variables, 2 are time series and 1 is a signal.,;doi: 10.12700/APH.15.1.2018.2.10
191;0,901;Fault detection;Rotary machines;Simulated jet-engines data;Online;Time series;Multi model;Bayes model, Kalman Filter,;Measurement vector, Control input vector;2;Robustness , Insensitivity,;N/A,;10 operational modes, no info about training instances, 3 testing instances (three different sets of measurements or sensor installations) , no need for data preprossesing, no info about computational power ,the robustness and insensitivity of the proposed FDI scheme are demonstrated by the fact that the proposed fault diagnosis scheme can detect and isolate all the faults that are considered by utilizing any of the 3 measurement configurations.,;doi :10.1109/TCST.2011.2177981
166;0,845;Fault detection;Rotary machines;Wind turbines;Off-line;Time series;Single model;Gaussian process clasifiers(GPC),;Temperature;22;Accuracy,;<0.945,; one case of study, there are 454 fault data and 25,645 fault-free data contained in the training data set, the remaining 113 fault and 6411 fault-free observations are included in the testing data set, no info abaut computacional power,;https://doi.org/10.1016/j.renene.2018.10.088
167;0,845;Fault detection;Rotary machines;Wind turbines;Online;Time series;Single model;Gaussian process clasifiers(GPC),;Wind power;22;N/A,;N/A,; one case of study, there are 454 fault data and 25,645 fault-free data contained in the training data set, the remaining 113 fault and 6411 fault-free observations are included in the testing data set, no info abaut computacional power,;https://doi.org/10.1016/j.renene.2018.10.088
210;0,837;Fault identification;Rotary machines;Simulated jet-engines data;Online;Time series;Single model;Expert system,;Results of a fault detection method ;1;N/A,;N/A,;No info about operational modes, no info about training instances, 3 testing instances , no need for data preprocessing , no info about computational power,;doi: 10.12700/APH.15.1.2018.2.10
211;0,818;Fault detection;Rotary machines;Simulated jet-engines data;Off-line;Time series;Multi model;Hybrid Kalman Filter, OBEM model, Piecewise linear model (PWL),;Compressor Temperature, Compressor Pressure, Turbine Temperature, Turbine Pressure, Shaft speed, Altitude, Mach Number, Fuel flow;8;Visual indicator,;N/A,;6 operation modes, 5 faulty condition modes and one healthy mode, no info about training instances, 3 testing instances, no info about data-preprocessing, no info about computational power, performance is measured using visual indicators, not measurable,;doi: 10.1109/ACC.2013.6580567
192;0,818;Fault identification;Rotary machines;Simulated jet-engines data;Online;Time series;Multi model;Bayes model, Kalman Filter,;Measurement vector, Control input vector;2;Robustness , Insensitivity,;N/A,;10 operational modes, no info about training instances, 3 testing instances (three different sets of measurements or sensor installations) ,no need for data preprossesing, no info about computational power ,the robustness and insensitivity of the proposed FDI scheme are demonstrated by the fact that the proposed fault diagnosis scheme can detect and isolate all the faults that are considered by utilizing any of the 3 measurement configurations.,;doi :10.1109/TCST.2011.2177981
195;0,786;Fault detection;Rotary machines;Rotor shafts;Online;Time series;Multi model;Gauss-Markov processes, Dynamical model for rotating machines , Kalman Filter, Rule-based system,;Imbalance source vector , Cracked source shaft vector ;2;N/A,;N/A,;No info about operational modes, no info about training instances, no info about testing instances , no need for data preprocessing , no info about computational power,;doi.org/10.1117/12.475502
72;0,772;Fault detection;Structures;Tank reactor;Online;Time series;Multi model;Updated Rule based system, Hidden Markov,;Temperature, Flow rates;3;Probability,;From graphics curves red and dotted green,;2 operational modes, a set of 500 samples was used, 2 belief rules base (with 6 rules each) were used, no explicit info about training data, no info about computational power,;doi:10.1016/j.ejor.2010.03.032
98;0,760;Fault detection;Rotary machines;Steam Turbine;Online;Signals;Single model;Extreme Gradient Boosting (XGBoost),;Condenser vacuum, Generator Power, Temperature, Fluid Pressure;7;N/A,;N/A,;No info about operational modes. One steam historical data used for training. One steam historical data used for testing. Same operational conditions for both turbines. XGBoost for training. No info about computational power.,;doi.org/10.1016/j.microrel.2013.03.010
59;0,758;Remaining useful life estimation;Rotary machines;Aircraft bearings;Online;Time series;Multi model;Relevance vector machine, Similarity-based interpolation,;Health index, Crack length;1;Score function (the smaller the better),;19,66,;No info about operational modes,;doi.org/10.1016/j.ress.2017.12.016
58;0,758;Remaining useful life estimation;Rotary machines;Aircraft bearings;Online;Time series;Multi model;Ensemble learning-based prognostic model,;Health index, Crack length;1;Score function (the smaller the better),;7,8,;No info about operational modes,;doi.org/10.1016/j.ress.2017.12.016
60;0,758;Remaining useful life estimation;Rotary machines;Aircraft bearings;Online;Time series;Single model;Particle filter,;Health index, Crack length;1;Score function (the smaller the better),;301,8,;No info about operational modes,;doi.org/10.1016/j.ress.2017.12.016
204;0,756;Remaining useful life estimation;Rotary machines;Wind turbines;Online;Time series;Single model;Geolocation principal ,;Distance, Degradation speed;2;Prognostic horizon, Relative accuracy,;(65),(0.7),;No info about operational modes, no info about training instances, no info about testing instances , no need for data preprocessing , no info about computational power,;doi.org/10.1016/j.renene.2017.05.020
2;0,755;Health assessment;Rotary machines;Simulated jet-engines data;Off-line;Time series;Single model;Logistic regression,;Temperature, Fluid Pressure, Spinning speed, Baypass ratio;5;Mean absolute precentage error,;(<0.05),;1 operational mode, 100 training instances, 100 test instances, data preprocessing include normalization and variables selection, no computational power info provided,;doi.org/10.1016/j.ast.2018.09.044
